title,publisher,YEAR,author keywords,scopusDistributionDate;;;;;;;;;;;;;;;;;;
    COVID-19 Deep Learning Prediction Model Using Publicly Available Radiologist-Adjudicated Chest X-Ray Images as Training Data: Preliminary Findings   ,Hindawi Limited,2020,,2020-12-13;;;;;;;;;;;;;;;;;;
Predictive modeling by deep learning, virtual screening and molecular dynamics study of natural compounds against SARS-CoV-2 main protease,Taylor and Francis Ltd.,2020,COVID-19; deep learning; main protease (MPro); molecular docking; natural compounds,2020-08-09;;;;;;;;;;;;;;
Intelligent decision support system for COVID-19 empowered with deep learning,Tech Science Press,2020,Convolutional neural network; COVID-19; CT-scan; Decision support system; Deep learning; ID2S-COVID19-DL; X-ray,2021-02-19;;;;;;;;;;;;
A hybrid deep learning model for COVID-19 prediction and current status of clinical trials worldwide,Tech Science Press,2020,Clinical trials; COVID-19; Deep learning; Healthcare; Prediction,09/12/20;;;;;;;;;;;;;;
Stacked-autoencoder-based model for COVID-19 diagnosis on CT images,Springer .,2020,Computed tomography; COVID-19 diagnosis; Deep learning; Stacked autoencoder,2020-12-31;;;;;;;;;;;;;;;
A deep transfer learning model with classical data augmentation and CGAN to detect COVID-19 from chest CT radiography digital images,Springer Science and Business Media Deutschland GmbH,2020,CGAN; COVID-19; Deep transfer learning; SARS-CoV-2,2020-10-30;;;;;;;;;;;;;;;
Automated diagnosis of COVID-19 with limited posteroanterior chest X-ray images using fine-tuned deep neural networks,Springer,2020,Chest X-ray (CXR); Classification; COVID-19; Deep learning; Imbalanced learning; Pneumonia; Transfer learning,2020-10-26;;;;;;;;;;;;
Prediction of covid-19 using genetic deep learning convolutional neural network (GDCNN),Institute of Electrical and Electronics Engineers Inc.,2020,Artificial Intelligence (AI); Chest X-Ray (CXR); Computed Tomography (CT); Genetic Deep Learning Convolutional Neural Network (GDCNN),2020-12-23;;;;;;;;;;;;;;;
Deep learning based detection and analysis of COVID-19 on chest X-ray images,Springer,2020,Chest X-ray images; CNN; Covid-19; Deep-learning; Inception net 3; ResNeXt; XCeption,2021-02-19;;;;;;;;;;;;
A three layered decentralized IoT biometric architecture for city lockdown during covid-19 outbreak,Institute of Electrical and Electronics Engineers Inc.,20,Cascaded convolution neural network; Cloud computing; Edge computing; Face detection; IoT,2020-11-13;;;;;;;;;;;;;;
Unsupervised anomaly detection in multivariate spatio-temporal data using deep learning: Early detection of covid-19 outbreak in Italy,Institute of Electrical and Electronics Engineers Inc.,2020,COVID-19; Deep learning; Italy; Multivariate; Outbreak detection; Spatio-temporal anomaly detection; Unsupervised,2020-12-04;;;;;;;;;;;;
Deep learning system to screen coronavirus disease 2019 pneumonia,Springer,2020,Convolutional neural networks; Deep learing; Pandemic; Viral pneumonias,2020-09-11;;;;;;;;;;;;;;;
Tourism demand and the COVID-19 pandemic: an LSTM approach,Taylor and Francis Ltd.,2020,China; Coronavirus; deep learning; long short term memory; tourism development; USA,2020-09-25;;;;;;;;;;;;;
Application of deep learning model (DeepCOVID-19) for detecting COVID-19 cases using chest x-ray images,SPIE,2020,Classification; Convolutional Neural Networks; COVID-19; Deep Learning; X-Ray,2020-10-21;;;;;;;;;;;;;;
A Weakly Supervised Deep Learning Framework for COVID-19 CT Detection and Analysis,Springer Science and Business Media Deutschland GmbH,2020,AI; Chest CT; Corona; COVID-19; Deep learning; Lung,2020-12-12;;;;;;;;;;;;;
The usage of deep neural network improves distinguishing COVID-19 from other suspected viral pneumonia by clinicians on chest CT: a real-world study,Springer Science and Business Media Deutschland GmbH,2020,COVID-19; Deep learning; Differential diagnosis,2021-01-06;;;;;;;;;;;;;;;;
COVID-19 X-ray Image Diagnostic with Deep Neural Networks,Springer Science and Business Media Deutschland GmbH,2020,Chest X-ray image analysis; COVID-19 diagnostic; Deep learning,2021-02-28;;;;;;;;;;;;;;;;
Deep learning time series to forecast COVID-19 active cases in INDIA: A comparative study,IOP Publishing Ltd,2020,coronavirus; COVID-19; machine learning; statistics; time-series,2020-12-28;;;;;;;;;;;;;;
Iteratively Pruned Deep Learning Ensembles for COVID-19 Detection in Chest X-Rays,Institute of Electrical and Electronics Engineers Inc.,2020,convolutional neural network; COVID-19; deep learning; ensemble; iterative pruning,2020-12-12;;;;;;;;;;;;;;
Using X-ray images and deep learning for automated detection of coronavirus disease,Taylor and Francis Ltd.,2020,Computer-aided diagnosis; coronavirus automatic detection; Covid-19; CT and X-ray images; deep learning; pneumonia,2020-12-04;;;;;;;;;;;;;
Identifying propaganda from online social networks during COVID-19 using machine learning techniques,Springer Science and Business Media B.V.,2020,COVID-19; Decision tree; Machine learning; Online social networks; Propaganda,2021-02-19;;;;;;;;;;;;;;
Integration of Machine Learning Models in PACS Systems to Support Diagnostic in Radiology Services,Springer Science and Business Media Deutschland GmbH,2020,Deep learning models; DICOM; Medical imaging; PACS integration,2021-02-02;;;;;;;;;;;;;;;
Review on Diagnosis of COVID-19 from Chest CT Images Using Artificial Intelligence,Hindawi Limited,2020,,2020-12-02;;;;;;;;;;;;;;;;;;
Design of a visual attention model for communication campaigns: The case of COVID-19 [DiseÃ±o de un modelo de atenciÃ³n visual para campaÃ±as de comunicaciÃ³n. El caso de la COVID-19],El Profesional de la Informacion,2020,Coronavirus; Covid-19; Crisis communication; Deep learning; Eye-tracking; Health communication; Health education; Machine learning; Mathematical models; Pandemics; Visual attention,2021-01-26;;;;;;;;
Video analysis method of basketball training assistant based on deep learning theory during COVID-19 spread,IOS Press BV,2020,ant colony algorithm model; basketball training assistant; Deep learning theory; video analysis,2020-12-19;;;;;;;;;;;;;;;
A Two-Dimensional Sparse Matrix Profile DenseNet for COVID-19 Diagnosis Using Chest CT Images,Institute of Electrical and Electronics Engineers Inc.,2020,COVID-19 CT images; DenseNet; matrix profile; mediation analysis; Rare pattern mining; risk score,2021-01-01;;;;;;;;;;;;;
A Study on SARS-CoV-2 (COVID-19) and Machine Learning Based Approach to Detect COVID-19 through X-Ray Images,World Scientific,2020,COVID-19; deep learning; radiography image; SARS-CoV-2,2021-01-01;;;;;;;;;;;;;;;
Color recognition of design object of manual decoration element based on convolution neural network under the impact of COVID-19,IOS Press BV,2020,AVG pool; CNN architecture; COVID-19; inception module; softmax,2020-12-19;;;;;;;;;;;;;;
Measuring Human and Economic Activity from Satellite Imagery to Support City-Scale Decision-Making during COVID-19 Pandemic,Institute of Electrical and Electronics Engineers Inc.,2020,Big Data; Buildings; CNN-based object detection; COVID-19; COVID-19 pandemic; Economics; human and economic activity assessment; Pandemics; Remote sensing; Satellites,2020-11-20;;;;;;;;;
Mobile Data Science and Intelligent Apps: Concepts, AI-Based Modeling and Research Directions,Springer,2020,Artificial intelligence; Context-awareness; Data-driven decision making; Expert system; Intelligent mobile apps; Machine learning; Mobile data science; Natural language processing,2020-12-28;;;;;;;;;;;
Viral and bacterial pneumonia diagnosis via deep learning techniques and model explainability,Science and Information Organization,2020,Bacterial and viral pneumonia; Image-based disease diagnosis; Interpretability; Pneumonia; X-rays images,2020-12-23;;;;;;;;;;;;;;
CovidDiagnosis: Deep Diagnosis of COVID-19 Patients Using Chest X-Rays,Springer Science and Business Media Deutschland GmbH,2020,Coronavirus; COVID-19; CovidDiagnosis; Radiomics; X-rays,2020-12-12;;;;;;;;;;;;;;
Automatic detection of COVID-19 using chest X-ray images and modified resnet18-based convolution neural networks,Tech Science Press,2020,Artificial intelligence; Chest x-ray images; Convolutional neural network; COVID-19; Resnet18 model,09/12/20;;;;;;;;;;;;;;
An effective deep residual network based class attention layer with bidirectional LSTM for diagnosis and classification of COVID-19,Taylor and Francis Ltd.,2020,Chest-X-Ray; COVID-19; deep learning; feature extraction; machine learning,2020-12-21;;;;;;;;;;;;;;
Convolutional Neural Network Based Classification of Patients with Pneumonia using X-ray Lung Images,ASTES Publishers,2020,Chest x-ray images; Convolutional neural network; COVID-19; Deep learning; Machine learning; Pneumonia detection,2020-12-04;;;;;;;;;;;;;
A combined deep CNN-LSTM network for the detection of novel coronavirus (COVID-19) using X-ray images,Elsevier Ltd,2020,Chest X-ray; Convolutional neural network; Coronavirus; COVID-19; Deep learning; Long short-term memory,2020-10-22;;;;;;;;;;;;;
Weakly Supervised Deep Learning for COVID-19 Infection Detection and Classification from CT Images,Institute of Electrical and Electronics Engineers Inc.,2020,classification; convolutional neural network; COVID-19; CT~images; deep learning; weakly supervision,2020-12-13;;;;;;;;;;;;;
Bat-inspired optimizer for prediction of anti-viral cure drug of SARS-CoV-2 based on recurrent neural network,Success Culture Press,2020,Anti-Viral cure drug; Bat algorithm; COVID-19; Drug design; Recurrent Neural Network; SARS-CoV-2,2020-10-20;;;;;;;;;;;;;
Discovering Unknown Diseases with Explainable Automated Medical Imaging,Springer,2020,COVID-19; DNN confidence calibration; New/unknown disease discovery; Visual explanation,2020-07-31;;;;;;;;;;;;;;;
Artificial Intelligence and COVID-19: Deep Learning Approaches for Diagnosis and Treatment,Institute of Electrical and Electronics Engineers Inc.,2020,Artificial intelligence; big data; bioinformatics; biomedical informatics; COVID-19; deep learning; diagnosis; machine learning; treatment,2020-12-13;;;;;;;;;;
AI aiding in diagnosing, tracking recovery of COVID-19 using deep learning on Chest CT scans,Springer,2020,Computed Tomography; Consolidation; Coronavirus; COVID-19; Diagnosis; Ground Glass Opacities (GGO); Hyperparameters; Pleural Effusion; Reverse Transcriptase Polymerase Chain Reaction; Semantic Segmentation; Spatial pyramid pooling; U-Net architecture,2021-03-05;;;;;;;
Novel deep learning technique used in management and discharge of hospitalized patients with COVID-19 in China,Dove Medical Press Ltd,2020,Computed tomography; Infectious disease; Lung disease; SARS-CoV-2; X-ray,2021-01-23;;;;;;;;;;;;;;
Artificial Intelligence-Based Classification of Chest X-Ray Images into COVID-19 and Other Infectious Diseases,Hindawi Limited,2020,,2021-01-23;;;;;;;;;;;;;;;;;;
"Insights of novel coronavirus (Sars-cov-2) disease outbreak, management and treatment,AIMS Press,2020,""COVID-19"; Outbreak; Pandemic; SARS-CoV-2; Therapeutic, vaccine;" Transmission"",2021-02-04";;;;;;;;;;;;;
COVID-19 in Bangladesh: A Deeper Outlook into the Forecast with Prediction of Upcoming per Day Cases Using Time Series,Elsevier B.V.,2020,COVID-19; COVID-19 transmission; Deep Learning; LSTM; ML; RFR; SVR; Time Series Forecasting,2021-02-13;;;;;;;;;;;
Research on intelligent prevention and control of COVID-19 in China's urban rail transit based on artificial intelligence and big data,IOS Press BV,20,big data; COVID-19; deep learning; epidemic prevention and control; intelligent police; urban rail transit,2021-01-02;;;;;;;;;;;;;
An automatic approach based on CNN architecture to detect Covid-19 disease from chest X-ray images,Springer,2020,Automatic detections; Chest X-ray radiographs; Convolutional neural network; Coronavirus; Deep transfer learning; Pneumonia,2020-12-12;;;;;;;;;;;;;
FaNet: fast assessment network for the novel coronavirus (COVID-19) pneumonia based on 3D CT imaging and clinical symptoms,Springer,2020,3D CT image sequences; Clinical symptoms; COVID-19; Fast assessment network,2021-01-21;;;;;;;;;;;;;;;
Electrochemical SARS-CoV-2 Sensing at Point-of-Care and Artificial Intelligence for Intelligent COVID-19 Management,American Chemical Society,2020,artificial intelligence; COVID-19 pandemic; diseases management; infectious diseases; Internet of things; point-of-care; smart diagnostics; smart sensing,2020-12-19;;;;;;;;;;;
Automated Deep Transfer Learning-Based Approach for Detection of COVID-19 Infection in Chest X-rays,Elsevier Masson SAS,2020,Chest x-ray; COVID-19; Deep learning; Transfer learning,2021-01-28;;;;;;;;;;;;;;;
Measuring and Preventing COVID-19 Using the SIR Model and Machine Learning in Smart Health Care,Hindawi Limited,2020,,2021-01-03;;;;;;;;;;;;;;;;;;
Visual and software-based quantitative chest ct assessment of COVID-19: Correlation with clinical findings,Turkish Society of Radiology,2020,,2020-12-12;;;;;;;;;;;;;;;;;;
Exploring the Potential of Artificial Intelligence and Machine Learning to Combat COVID-19 and Existing Opportunities for LMIC: A Scoping Review,SAGE Publications Inc.,2020,artificial intelligence; COVID-19; low middle-income countries; machine learning; pandemic,2021-02-02;;;;;;;;;;;;;;
Initial chest radiographs and artificial intelligence (AI) predict clinical outcomes in COVID-19 patients: analysis of 697 Italian patients,Springer Science and Business Media Deutschland GmbH,2020,Artificial intelligence; COVID-19; Prognosis; Radiography; Severe acute respiratory syndrome,02/03/21;;;;;;;;;;;;;;
Can AI Help in Screening Viral and COVID-19 Pneumonia?,Institute of Electrical and Electronics Engineers Inc.,2020,Artificial intelligence; computer-aided diagnostic tool; COVID-19 pneumonia; machine learning; transfer learning; viral pneumonia,2020-12-25;;;;;;;;;;;;;
Development and Implementation of a Synchronous Online TBL Using Microsoft Forms,Springer,2020,Educational technology; Flipped classroom; Student engagement; Team-based learning; Virtual classroom,2021-03-03;;;;;;;;;;;;;;
9th IAPR TC3 International Workshop on Artificial Neural Networks in Pattern Recognition, ANNPR 2020,Springer Science and Business Media Deutschland GmbH,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
2nd International Workshop on Thoracic Image Analysis, TIA 2020 Held in Conjunction with Medical Image Computing and Computer-Assisted Intervention Conference, MICCAI 2020,Springer Science and Business Media Deutschland GmbH,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
LSTM Network with reinforced learning in short and medium term warsaw stock market index forecast,EUROSIS,2020,AI-supported simulation; Automated planning; Forecasting; Stock market index; Time series analysis,2021-01-10;;;;;;;;;;;;;;
International Conference on Computer Vision and Graphics, ICCVG 2020,Springer Science and Business Media Deutschland GmbH,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
XAI.it 2020 - Proceedings of the Italian Workshop on Explainable Artificial Intelligence, co-located with 19th International Conference of the Italian Association for Artificial Intelligence, AIxIA 2020,CEUR-WS   ,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
YOLOv3-based mask and face recognition algorithm for individual protection applications,CEUR-WS,2020,Computer vision; Deep learning; Face recognition; Image processing; Mask recognition,2021-01-10;;;;;;;;;;;;;;
IVUS 2020 - Proceedings of the Information Society and University Studies 2020,CEUR-WS,20,,2021-01-10;;;;;;;;;;;;;;;;;;
International Conference on Recent Advancements in Engineering and Management, ICRAEM 2020 - Number 2,IOP Publishing Ltd,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
4th International Workshop on Software Foundations for Data Interoperability, SFDI 2020 and 2nd International Workshop on Large Scale Graph Data Analytics, LSGDA 2020, held in Conjunction with VLDB 2020,Springer Science and Business Media Deutschland GmbH,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
9th International Conference on Health Information Science, HIS 2020,Springer Science and Business Media Deutschland GmbH,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
Understanding automatic COVID-19 classification using chest X-ray images,CEUR-WS,2020,Chest X-ray images; Convolutional Neural Networks; GradCAM,2021-01-10;;;;;;;;;;;;;;;;
16th International Conference on Security and Privacy in Communication Networks, SecureComm 2020,Springer Science and Business Media Deutschland GmbH,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
16th International Conference on Security and Privacy in Communication Networks, SecureComm 2020,Springer Science and Business Media Deutschland GmbH,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
22nd International Conference on Asia-Pacific Digital Libraries, ICADL 2020,Springer Science and Business Media Deutschland GmbH,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
9th International Congress on Telematics and Computing, WITCOM 2020,Springer Science and Business Media Deutschland GmbH,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
12th International Conference on Social Informatics, SocInfo 2020,Springer Science and Business Media Deutschland GmbH,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
33rd Australasian Joint Conference on Artificial Intelligence, AI 2020,Springer Science and Business Media Deutschland GmbH,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
CODS-COMAD 2021 - Proceedings of the 3rd ACM India Joint International Conference on Data Science and Management of Data, 8th ACM IKDD CODS and 26th COMAD,Association for Computing Machinery,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
Novel coronavirus forecasting model using nonlinear autoregressive artificial neural network,Science and Engineering Research Support Society,2020,Artificial intelligence; Coronavirus outbreak; Neural network forecasting; Non-linear autoregressive network; Time series prediction,2021-01-10;;;;;;;;;;;;;;
Proceedings of the World Conference on Smart Trends in Systems, Security and Sustainability, WS4 2020,Institute of Electrical and Electronics Engineers Inc.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
INISTA 2020 - 2020 International Conference on INnovations in Intelligent SysTems and Applications, Proceedings,Institute of Electrical and Electronics Engineers Inc.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
Proceedings - 2020 International Conference on Assistive and Rehabilitation Technologies, iCareTech 2020,Institute of Electrical and Electronics Engineers Inc.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
Proceedings of the 24th International Database Engineering and Applications Symposium, IDEAS 2020,Association for Computing Machinery,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
Proceedings - 2nd Al-Noor International Conference for Science and Technology, NICST 2020,Institute of Electrical and Electronics Engineers Inc.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
Human activity recognition using SVM and deep learning,Ubiquity Pres,2020,COVID-19; Deep learning; Gabor filter; Human activity recognition; Support vector machine,2021-01-10;;;;;;;;;;;;;;
Proceedings - 2020 IEEE 6th International Conference on Multimedia Big Data, BigMM 2020,Institute of Electrical and Electronics Engineers Inc.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
Pandemic analyzer for efficient prediction of COVID-19 in India using machine learning algorithms,Ubiquity Press,2020,ARIMA model; Coronavirus; Deep learning; FB prophet model machine learning; Forecasting; Prediction; Web scraping,2021-01-10;;;;;;;;;;;;
Eyebrow Deserves Attention: Upper Periocular Biometrics,Institute of Electrical and Electronics Engineers Inc.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
Application of soft computing techniques in the analysis of COVID - 19: A review,Ubiquity Press,2020,Artificial intelligence; Cauchy distribution; COVID-19; Health policies; Internet of things; Machine learning; Soft computing techniques,2021-01-10;;;;;;;;;;;;
Proceedings of the 11th SETN Conference on Artificial Intelligence, SETN 2020,Association for Computing Machinery,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
12th AEIT International Annual Conference, AEIT 2020,Institute of Electrical and Electronics Engineers Inc.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
"Proceedings of the ACM Symposium on Document Engineering, DocEng 2020,""Association for Computing Machinery, Inc"",2020,,2021-01-10";;;;;;;;;;;;;;;;;;
Proceedings of the 2020 International Conference on Computer, Information and Telecommunication Systems, CITS 2020,Institute of Electrical and Electronics Engineers Inc.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
2020 International Conference on Computational Intelligence, ICCI 2020,Institute of Electrical and Electronics Engineers Inc.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
Proceedings of the 2020 International Conference on Computing, Communication and Security, ICCCS 2020,Institute of Electrical and Electronics Engineers Inc.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
2020 4th International Conference on Multimedia Computing, Networking and Applications, MCNA 2020,Institute of Electrical and Electronics Engineers Inc.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
2020 IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology, CIBCB 2020,Institute of Electrical and Electronics Engineers Inc.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
"Artificial intelligence and big data as solutions to COVID-19 [IntelÂ·ligÃ¨ncia artificial i big data per fer front a la COVID-19] [Inteligencia artificial y big data como soluciones frente a la COVID-19],""Universitat de Barcelona, Observatorio de Bioetica y Derecho"",2020,Advanced analytics"; COVID-19; Data representation; Data science; Deep learning; Learning algorithms; Machine learning; Pandemic,2021-01-10;;;;;;;;;;;
2020 Medical Technologies Congress, TIPTEKNO 2020 [TIPTEKNO 2020 - Tip Teknolojileri Kongresi],Institute of Electrical and Electronics Engineers Inc.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
International Conference on Recent Advancements in Engineering and Management, ICRAEM 2020 - Number 3,IOP Publishing Ltd.,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
International Conference on Recent Advancements in Engineering and Management, ICRAEM 2020 - Number 4,IOP Publishing Ltd,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
International Conference on Recent Advancements in Engineering and Management, ICRAEM 2020 - Number 1,IOP Publishing Ltd,2020,,2021-01-10;;;;;;;;;;;;;;;;;;
Laguerre gauss kernel for covid-19 medical decision making from chest tomography,CESER Publications,2021,COVID-19; Deep learning; Information extraction; Kernels for preprocessing; Medical decision making,2021-01-10;;;;;;;;;;;;;;
International Conference on Tourism, Technology and Systems, ICOTTS 2020,Springer Science and Business Media Deutschland GmbH,2021,,2021-01-10;;;;;;;;;;;;;;;;;;
International Conference on Tourism, Technology and Systems, ICOTTS 2020,Springer Science and Business Media Deutschland GmbH,2021,,2021-01-10;;;;;;;;;;;;;;;;;;
6th International Conference on Advanced Intelligent Systems and Informatics, AISI 2020,Springer Science and Business Media Deutschland GmbH,21,,2021-01-10;;;;;;;;;;;;;;;;;;
23rd International Conference on Network-Based Information Systems, NBiS 2020,Springer,2021,,2021-01-10;;;;;;;;;;;;;;;;;;
GoogleNet CNN neural network towards chest CT-coronavirus medical image classification,Science Publications,2020,CNN; CT-Coronavirus medical image; GoogleNet; Image classification,2020-08-14;;;;;;;;;;;;;;;
9th IAPR TC3 International Workshop on Artificial Neural Networks in Pattern Recognition, ANNPR 2020,Springer Science and Business Media Deutschland GmbH,2020,,2020-12-24;;;;;;;;;;;;;;;;;;
2nd International Workshop on Thoracic Image Analysis, TIA 2020 Held in Conjunction with Medical Image Computing and Computer-Assisted Intervention Conference, MICCAI 2020,Springer Science and Business Media Deutschland GmbH,2020,,2020-12-24;;;;;;;;;;;;;;;;;;
LSTM Network with reinforced learning in short and medium term warsaw stock market index forecast,EUROSIS,2020,AI-supported simulation; Automated planning; Forecasting; Stock market index; Time series analysis,2020-12-24;;;;;;;;;;;;;;
International Conference on Computer Vision and Graphics, ICCVG 2020,Springer Science and Business Media Deutschland GmbH,2020,,2020-12-24;;;;;;;;;;;;;;;;;;
XAI.it 2020 - Proceedings of the Italian Workshop on Explainable Artificial Intelligence, co-located with 19th International Conference of the Italian Association for Artificial Intelligence, AIxIA 2020,CEUR-WS-,2020,,2020-12-24;;;;;;;;;;;;;;;;;;
YOLOv3-based mask and face recognition algorithm for individual protection applications,CEUR-WS,2020,Computer vision; Deep learning; Face recognition; Image processing; Mask recognition,2020-12-24;;;;;;;;;;;;;;
IVUS 2020 - Proceedings of the Information Society and University Studies 2020,CEUR-WS,2020,,2020-12-24;;;;;;;;;;;;;;;;;;
International Conference on Recent Advancements in Engineering and Management, ICRAEM 2020 - Number 2,IOP Publishing Ltd,2020,,2020-12-24;;;;;;;;;;;;;;;;;;
